code	name	comarca_code	comarca_name	amb	vegueria_code	vegueria_name	province_code	province_name	male_population	female_population	total_population
250019	Abella de la Conca	25	Pallars Jussà		AT07	Alt Pirineu i Aran	25	Lleida	93 	77 	170 
80018	Abrera	11	Baix Llobregat		AT01	Metropolità	8	Barcelona	6.118 	5.953 	12.071 
250024	Àger	23	Noguera		AT05	Ponent	25	Lleida	325 	288 	613 
250030	Agramunt	38	Urgell		AT05	Ponent	25	Lleida	2.775 	2.716 	5.491 
80023	Aguilar de Segarra	7	Bages		AT06	Comarques Centrals	8	Barcelona	131 	115 	246 
170010	Agullana	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	418 	410 	828 
80142	Aiguafreda	41	Vallès Oriental		AT01	Metropolità	8	Barcelona	1.175 	1.290 	2.465 
430017	Aiguamúrcia	1	Alt Camp		AT03	Camp de Tarragona	43	Tarragona	486 	426 	912 
170025	Aiguaviva	20	Gironès		AT02	Comarques Gironines	17	Girona	391 	384 	775 
250387	Aitona	33	Segrià		AT05	Ponent	25	Lleida	1.249 	1.207 	2.456 
250045	Alamús, els	33	Segrià		AT05	Ponent	25	Lleida	404 	374 	778 
250058	Alàs i Cerc	4	Alt Urgell		AT07	Alt Pirineu i Aran	25	Lleida	182 	174 	356 
250061	Albagés, l'	18	Garrigues		AT05	Ponent	25	Lleida	222 	197 	419 
170031	Albanyà	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	85 	64 	149 
250077	Albatàrrec	33	Segrià		AT05	Ponent	25	Lleida	1.156 	1.058 	2.214 
250083	Albesa	23	Noguera		AT05	Ponent	25	Lleida	874 	750 	1.624 
250096	Albi, l'	18	Garrigues		AT05	Ponent	25	Lleida	426 	393 	819 
430022	Albinyana	12	Baix Penedès		AT08	Penedès	43	Tarragona	1.171 	1.149 	2.320 
430038	Albiol, l'	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	228 	220 	448 
170046	Albons	10	Baix Empordà		AT02	Comarques Gironines	17	Girona	382 	363 	745 
430043	Alcanar	22	Montsià		AT04	Terres de l'Ebre	43	Tarragona	4.863 	4.740 	9.603 
250100	Alcanó	33	Segrià		AT05	Ponent	25	Lleida	123 	123 	246 
250117	Alcarràs	33	Segrià		AT05	Ponent	25	Lleida	4.863 	4.509 	9.372 
250122	Alcoletge	33	Segrià		AT05	Ponent	25	Lleida	1.716 	1.569 	3.285 
430056	Alcover	1	Alt Camp		AT03	Camp de Tarragona	43	Tarragona	2.535 	2.538 	5.073 
